Supplementary Data 1: CCLE cell lines profiled and radiation sensitivity data,,,,,,,
Master_ccl_id,Cell Line,Site,Histology,Subhistology,Culture_media,Snp_fp_status,AUC
162,COLO680N,oesophagus,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,3.185
164,COLO699,lung,carcinoma,adenocarcinoma,RPMI001,SNP-unconfirmed,2.803
168,COLO783,skin,malignant_melanoma,NS,RPMI001,SNP-not-tested,2.497
170,COLO800,skin,malignant_melanoma,NS,RPMI001,SNP-matched-reference,3.133
172,COLO829,skin,malignant_melanoma,NS,RPMI001,SNP-matched-reference,3.488
174,CORL105,lung,carcinoma,adenocarcinoma,RPMI007,SNP-matched-reference,3.495
184,COV318,ovary,carcinoma,NS,DMEM005,SNP-not-tested,2.274
185,COV362,ovary,carcinoma,NS,DMEM005,SNP-matched-reference,3.821
186,COV434,ovary,sex_cord-stromal_tumour,granulosa_cell_tumour,DMEM005,SNP-matched-reference,1.843
188,COV644,ovary,carcinoma,NS,DMEM005,SNP-matched-reference,5.105
190,CW2,large_intestine,carcinoma,NS,RPMI001,SNP-matched-reference,1.506
193,D283MED,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma,NS,EMEM001,SNP-matched-reference,1.42
201,DANG,pancreas,carcinoma,NS,RPMI001,SNP-matched-reference,4.035
202,DAOY,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma,NS,EMEM001,SNP-matched-reference,2.274
205,DBTRG05MG,central_nervous_system,glioma,astrocytoma_Grade_IV,RPMI001,SNP-matched-reference,1.968
208,DETROIT562,upper_aerodigestive_tract,carcinoma,NS,EMEM001,SNP-matched-reference,2.477
211,DKMG,central_nervous_system,glioma,astrocytoma_Grade_IV,RPMI001,SNP-matched-reference,3.123
212,DLD1,large_intestine,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,2.355
214,DM3,pleura,mesothelioma,NS,NCTC-109,SNP-not-tested,1.777
215,DMS114,lung,carcinoma,small_cell_carcinoma,WAYMOUTH002,SNP-matched-reference,2.86
219,DMS53,lung,carcinoma,small_cell_carcinoma,WAYMOUTH002,SNP-matched-reference,3.416
225,DU145,prostate,carcinoma,NS,EMEM001,SNP-matched-reference,3.319
230,EBC1,lung,carcinoma,squamous_cell_carcinoma,MEM001,SNP-matched-reference,3.327
232,ECC12,stomach,carcinoma,small_cell_adenocarcinoma,RPMI001,SNP-unconfirmed,2.448
233,ECGI10,oesophagus,carcinoma,NS,HAMSF12001,SNP-matched-reference,2.582
234,EFE184,endometrium,carcinoma,NS,RPMI001,SNP-matched-reference,4.849
236,EFM192A,breast,carcinoma,NS,RPMI003,SNP-matched-reference,5.352
237,EFO21,ovary,carcinoma,serous_carcinoma,RPMI010,SNP-matched-reference,3.391
238,EFO27,ovary,carcinoma,mucinous_carcinoma,RPMI010,SNP-matched-reference,1.706
241,EKVX,lung,carcinoma,adenocarcinoma,RPMI005,SNP-matched-reference,6.211
246,EPLC272H,lung,carcinoma,squamous_cell_carcinoma,RPMI003,SNP-matched-reference,3.941
247,ES2,ovary,carcinoma,clear_cell_carcinoma,RPMI001,SNP-matched-reference,3.305
248,ESS1,endometrium,carcinoma,carcinosarcoma-malignant_mesodermal_mixed_tumour,RPMI003,SNP-matched-reference,2.357
255,FADU,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,EMEM001,SNP-matched-reference,3.757
257,FTC133,thyroid,carcinoma,follicular_carcinoma,DMEMF12001,SNP-matched-reference,2.782
258,FTC238,thyroid,carcinoma,follicular_carcinoma,DMEMF12003,SNP-matched-reference,5.626
261,FUOV1,ovary,carcinoma,serous_carcinoma,DMEMF12006,SNP-matched-reference,3.5
262,G292CLONEA141B1,bone,osteosarcoma,NS,MCCOYS5A002,SNP-matched-reference,2.187
264,G401,soft_tissue,rhabdoid_tumour,NS,MCCOYS5A001,SNP-matched-reference,1.207
265,G402,soft_tissue,rhabdoid_tumour,NS,MCCOYS5A001,SNP-matched-reference,0.806
268,GAMG,central_nervous_system,glioma,NS,DMEM001,SNP-matched-reference,5.242
269,GB1,central_nervous_system,glioma,astrocytoma_Grade_IV,EMEM001,SNP-matched-reference,1.787
271,GCT,soft_tissue,malignant_fibrous_histiocytoma-pleomorphic_sarcoma,NS,MCCOYS5A001,SNP-matched-reference,2.099
274,GI1,central_nervous_system,glioma,gliosarcoma,DMEM001,SNP-matched-reference,2.392
280,GMS10,central_nervous_system,glioma,astrocytoma_Grade_IV,MEM001,SNP-matched-reference,3.995
281,GOS3,central_nervous_system,glioma,astrocytoma,DMEM001,SNP-matched-reference,4.13
282,GP2D,large_intestine,carcinoma,adenocarcinoma,DMEMF12001,SNP-matched-reference,1.937
291,H4,central_nervous_system,glioma,NS,EMEM001,SNP-not-tested,3.162
293,HARA,lung,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,3.52
296,HCC1171,lung,carcinoma,non_small_cell_carcinoma,RPMI001,SNP-matched-reference,3.124
298,HCC1195,lung,carcinoma,mixed_adenosquamous_carcinoma,RPMI001,SNP-unconfirmed,2.281
301,HCC1419,breast,carcinoma,ductal_carcinoma,RPMI001,SNP-matched-reference,6.188
302,HCC1428,breast,carcinoma,NS,RPMI001,SNP-matched-reference,2.87
303,HCC1438,lung,carcinoma,large_cell_carcinoma,RPMI001,SNP-unconfirmed,3.907
304,HCC15,lung,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,2.06
306,HCC1569,breast,carcinoma,metaplastic_carcinoma,RPMI001,SNP-not-tested,3.265
307,HCC1588,lung,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,2.852
309,HCC1806,breast,carcinoma,ductal_carcinoma,RPMI001,SNP-matched-reference,3.776
310,HCC1833,lung,carcinoma,adenocarcinoma,RPMI001,SNP-unconfirmed,3.868
313,HCC1937,breast,carcinoma,ductal_carcinoma,RPMI001,SNP-unconfirmed,4.695
314,HCC1954,breast,carcinoma,ductal_carcinoma,RPMI001,SNP-matched-reference,2.573
315,HCC202,breast,carcinoma,ductal_carcinoma,RPMI001,SNP-matched-reference,4.839
316,HCC2108,lung,carcinoma,adenocarcinoma,RPMI001,SNP-unconfirmed,2.353
319,HCC2279,lung,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,2.896
324,HCC2935,lung,carcinoma,non_small_cell_carcinoma,RPMI001,SNP-matched-reference,4.019
328,HCC366,lung,carcinoma,mixed_adenosquamous_carcinoma,RPMI001,SNP-not-tested,2.223
330,HCC38,breast,carcinoma,ductal_carcinoma,RPMI001,SNP-matched-reference,2.675
331,HCC4006,lung,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,2.876
332,HCC44,lung,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,4.408
337,HCC56,large_intestine,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,3.107
339,HCC78,lung,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,1.856
340,HCC827,lung,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,2.624
342,HCC95,lung,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,4.276
345,HCT15,large_intestine,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,0.851
350,HEC108,endometrium,carcinoma,adenocarcinoma,EMEM002,SNP-not-tested,2.785
351,HEC151,endometrium,carcinoma,adenocarcinoma,EMEM002,SNP-matched-reference,1.444
352,HEC1A,endometrium,carcinoma,adenocarcinoma,MCCOYS5A001,SNP-matched-reference,2.545
353,HEC1B,endometrium,carcinoma,adenocarcinoma,EMEM001,SNP-matched-reference,2.876
354,HEC251,endometrium,carcinoma,adenocarcinoma,EMEM002,SNP-matched-reference,1.033
355,HEC265,endometrium,carcinoma,adenocarcinoma,EMEM002,SNP-not-tested,1.658
356,HEC50B,endometrium,carcinoma,adenocarcinoma,EMEM002,SNP-matched-reference,1.718
357,HEC59,endometrium,carcinoma,adenocarcinoma,EMEM002,SNP-unconfirmed,2.802
358,HEC6,endometrium,carcinoma,adenocarcinoma,EMEM002,SNP-matched-reference,1.904
365,HEP3B217,liver,carcinoma,hepatocellular_carcinoma,EMEM001,SNP-matched-reference,3.097
366,HEPG2,liver,carcinoma,hepatocellular_carcinoma,DMEM001,SNP-matched-reference,5.215
367,HEYA8,ovary,carcinoma,NS,EMEM003,SNP-not-tested,0.745
374,HLF,liver,carcinoma,hepatocellular_carcinoma,DMEM009,SNP-matched-reference,1.934
376,HMC18,breast,carcinoma,NS,RPMI001,SNP-matched-reference,0.755
377,HMCB,skin,malignant_melanoma,NS,EMEM003,SNP-matched-reference,3.424
381,HOP62,lung,carcinoma,adenocarcinoma,RPMI005,SNP-matched-reference,1.777
382,HOP92,lung,carcinoma,large_cell_carcinoma,RPMI005,SNP-matched-reference,3.613
383,HOS,bone,osteosarcoma,NS,EMEM001,SNP-matched-reference,2.542
385,HPAFII,pancreas,carcinoma,ductal_carcinoma,EMEM001,SNP-matched-reference,3.367
395,HS294T,skin,malignant_melanoma,NS,DMEM001,SNP-matched-reference,1.744
409,HS683,central_nervous_system,glioma,NS,DMEM001,SNP-matched-reference,5.615
414,HS729,soft_tissue,rhabdomyosarcoma,NS,DMEM001,SNP-matched-reference,2.936
418,HS746T,stomach,carcinoma,NS,DMEM001,SNP-matched-reference,4.457
421,HS766T,pancreas,carcinoma,ductal_carcinoma,DMEM001,SNP-matched-reference,5.091
422,HS819T,bone,chondrosarcoma,NS,DMEM001,SNP-matched-reference,2.581
426,HS839T,skin,malignant_melanoma,NS,DMEM001,SNP-matched-reference,4.11
432,HS888T,bone,osteosarcoma,NS,DMEM002,SNP-not-tested,3.914
434,HS895T,skin,malignant_melanoma,NS,DMEM001,SNP-matched-reference,3.225
436,HS934T,skin,malignant_melanoma,NS,DMEM001,SNP-matched-reference,2.658
440,HS944T,skin,malignant_melanoma,NS,RPMI001,SNP-matched-reference,2.127
441,HSC2,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,EMEM001,SNP-matched-reference,4.907
442,HSC3,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,EMEM001,SNP-matched-reference,1.827
443,HSC4,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,EMEM001,SNP-matched-reference,4.239
447,HT115,large_intestine,carcinoma,NS,DMEM005,SNP-matched-reference,2.597
448,HT1197,urinary_tract,carcinoma,NS,EMEM003,SNP-matched-reference,4.449
449,HT1376,urinary_tract,carcinoma,transitional_cell_carcinoma,EMEM003,SNP-matched-reference,5.228
450,HT144,skin,malignant_melanoma,NS,MCCOYS5A001,SNP-matched-reference,1.276
451,HT29,large_intestine,carcinoma,adenocarcinoma,MCCOYS5A001,SNP-matched-reference,5.483
452,HT55,large_intestine,carcinoma,adenocarcinoma,EMEM003,SNP-matched-reference,2.812
457,HUH1,liver,carcinoma,hepatocellular_carcinoma,DMEM001,SNP-matched-reference,5.052
458,HUH28,biliary_tract,carcinoma,NS,RPMI001,SNP-matched-reference,3.883
462,HUPT3,pancreas,carcinoma,NS,MEM001,SNP-matched-reference,3.226
463,HUPT4,pancreas,carcinoma,NS,MEM001,SNP-not-tested,3.118
469,IALM,lung,carcinoma,large_cell_carcinoma,HAMSF10001,SNP-not-tested,3.106
470,IGR1,skin,malignant_melanoma,NS,DMEM001,SNP-matched-reference,3.866
471,IGR37,skin,malignant_melanoma,NS,DMEM011,SNP-not-tested,5.059
472,IGR39,skin,malignant_melanoma,NS,DMEM011,SNP-matched-reference,4.398
473,IGROV1,ovary,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,2.205
474,IM95,stomach,carcinoma,intestinal_adenocarcinoma,DMEM001,SNP-matched-reference,2.661
475,IMR32,autonomic_ganglia,neuroblastoma,NS,EMEM001,SNP-matched-reference,0.634
478,IPC298,skin,malignant_melanoma,NS,RPMI001,SNP-matched-reference,3.118
479,IshikawaHeraklio02ER,endometrium,carcinoma,adenocarcinoma,MEM002,SNP-not-tested,1.324
480,ISTMES1,pleura,mesothelioma,NS,DMEM012,SNP-matched-reference,2.936
482,J82,urinary_tract,carcinoma,transitional_cell_carcinoma,EMEM001,SNP-matched-reference,3.198
486,JHH1,liver,carcinoma,hepatocellular_carcinoma,WILLIAMSE001,SNP-matched-reference,4.352
487,JHH2,liver,carcinoma,hepatocellular_carcinoma,EMEM001,SNP-matched-reference,4.734
488,JHH4,liver,carcinoma,hepatocellular_carcinoma,EMEM001,SNP-matched-reference,3.035
489,JHH5,liver,carcinoma,hepatocellular_carcinoma,WILLIAMSE001,SNP-matched-reference,2.165
490,JHH6,liver,carcinoma,hepatocellular_carcinoma,WILLIAMSE001,SNP-matched-reference,3.382
492,JHOC5,ovary,carcinoma,clear_cell_carcinoma,DMEMF12004,SNP-matched-reference,1.724
493,JHOM1,ovary,carcinoma,adenocarcinoma,DMEMF12004,SNP-matched-reference,4.715
495,JHOS2,ovary,carcinoma,adenocarcinoma,DMEMF12003,SNP-matched-reference,3.243
497,JHUEM1,endometrium,carcinoma,adenocarcinoma,DMEMF12003,SNP-matched-reference,1.501
498,JHUEM2,endometrium,carcinoma,adenocarcinoma,DMEMF12004,SNP-matched-reference,1.178
499,JHUEM3,endometrium,carcinoma,adenocarcinoma,DMEMF12004,SNP-matched-reference,4.403
504,JL1,pleura,mesothelioma,NS,DMEM005,SNP-matched-reference,5.244
506,JMSU1,urinary_tract,carcinoma,NS,RPMI001,SNP-matched-reference,2.792
512,K029AX,skin,malignant_melanoma,NS,RPMI001,SNP-matched-reference,3.823
514,KALS1,central_nervous_system,glioma,NS,RPMI003,SNP-matched-reference,3.997
522,KATOIII,stomach,carcinoma,adenocarcinoma,IMDM003,SNP-matched-reference,2.741
526,KE39,stomach,carcinoma,NS,RPMI001,SNP-matched-reference,4.164
534,KLE,endometrium,carcinoma,adenocarcinoma,DMEMF12003,SNP-not-tested,2.722
537,KMBC2,urinary_tract,carcinoma,NS,HAMSF12002,SNP-not-tested,4.126
540,KMRC1,kidney,carcinoma,clear_cell_renal_cell_carcinoma,DMEM001,SNP-matched-reference,4.43
541,KMRC2,kidney,carcinoma,clear_cell_renal_cell_carcinoma,DMEM001,SNP-matched-reference,2.781
543,KMRC3,kidney,carcinoma,clear_cell_renal_cell_carcinoma,DMEM001,SNP-matched-reference,2.902
556,KNS42,central_nervous_system,glioma,NS,MEM001,SNP-matched-reference,3.91
557,KNS60,central_nervous_system,glioma,astrocytoma_Grade_IV,DMEM009,SNP-matched-reference,3.346
558,KNS62,lung,carcinoma,squamous_cell_carcinoma,EMEM005,SNP-matched-reference,3.631
559,KNS81,central_nervous_system,glioma,astrocytoma_Grade_IV,DMEM009,SNP-matched-reference,3.803
566,KP2,pancreas,carcinoma,NS,RPMI001,SNP-matched-reference,2.248
567,KP3,pancreas,carcinoma,ductal_carcinoma,RPMI001,SNP-matched-reference,3.673
571,KPNSI9S,autonomic_ganglia,neuroblastoma,NS,RPMI001,SNP-not-tested,1.477
575,KU1919,urinary_tract,carcinoma,transitional_cell_carcinoma,RPMI001,SNP-matched-reference,3.503
577,KURAMOCHI,ovary,carcinoma,undifferentiated_carcinoma,RPMI001,SNP-matched-reference,4.856
578,KYM1,soft_tissue,rhabdomyosarcoma,NS,DMEMF12003,SNP-matched-reference,2.223
580,KYSE140,oesophagus,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,3.383
581,KYSE150,oesophagus,carcinoma,squamous_cell_carcinoma,RPMIF12001,SNP-matched-reference,3.073
582,KYSE180,oesophagus,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,3.62
584,KYSE30,oesophagus,carcinoma,squamous_cell_carcinoma,RPMIF12001,SNP-matched-reference,1.491
585,KYSE410,oesophagus,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,4.652
586,KYSE450,oesophagus,carcinoma,squamous_cell_carcinoma,RPMIF12001,SNP-matched-reference,4.678
587,KYSE510,oesophagus,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,5.059
588,KYSE520,oesophagus,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,3.539
589,KYSE70,oesophagus,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,3.904
591,L33,pancreas,carcinoma,NS,RPMI001,SNP-matched-reference,4.078
598,LC1SQSF,lung,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,3.615
599,LCLC103H,lung,carcinoma,large_cell_carcinoma,RPMI001,SNP-matched-reference,4.144
600,LCLC97TM1,lung,carcinoma,large_cell_carcinoma,RPMI003,SNP-not-tested,1.898
601,LI7,liver,carcinoma,hepatocellular_carcinoma,RPMI001,SNP-matched-reference,3.903
602,LK2,lung,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,2.258
603,LMSU,stomach,carcinoma,adenocarcinoma,HAMSF10001,SNP-not-tested,3.711
604,LN18,central_nervous_system,glioma,astrocytoma_Grade_IV,DMEM009,SNP-matched-reference,2.723
606,LN229,central_nervous_system,glioma,astrocytoma_Grade_IV,DMEM009,SNP-matched-reference,3.777
621,LOUNH91,lung,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-not-tested,2.77
622,LOVO,large_intestine,carcinoma,adenocarcinoma,HAMSF12001,SNP-matched-reference,1.531
626,LS1034,large_intestine,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,4.013
627,LS123,large_intestine,carcinoma,adenocarcinoma,EMEM001,SNP-matched-reference,3.873
630,LS180,large_intestine,carcinoma,adenocarcinoma,EMEM001,SNP-matched-reference,1.425
631,LS411N,large_intestine,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,3.401
632,LS513,large_intestine,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,2.258
634,LU99,lung,carcinoma,large_cell_carcinoma,RPMI001,SNP-matched-reference,2.853
635,LUDLU1,lung,carcinoma,squamous_cell_carcinoma,RPMI001,SNP-matched-reference,4.115
638,M059K,central_nervous_system,glioma,astrocytoma_Grade_IV,DMEMF12003,SNP-matched-reference,4.306
644,MCAS,ovary,carcinoma,adenocarcinoma,EMEM005,SNP-matched-reference,2.616
646,MCF7,breast,carcinoma,NS,DMEM001,SNP-matched-reference,3.209
648,MDAMB157,breast,carcinoma,ductal_carcinoma,RPMI001,SNP-unconfirmed,3.067
650,MDAMB231,breast,carcinoma,NS,RPMI001,SNP-not-tested,2.615
651,MDAMB361,breast,carcinoma,NS,RPMI003,SNP-matched-reference,4.792
652,MDAMB415,breast,carcinoma,NS,RPMI017,SNP-not-tested,3.521
655,MDAMB435S,skin,malignant_melanoma,NS,RPMI001,SNP-matched-reference,4.191
657,MDAMB453,breast,carcinoma,NS,RPMI001,SNP-matched-reference,5.504
658,MDAMB468,breast,carcinoma,NS,DMEM001,SNP-matched-reference,3.622
666,MELHO,skin,malignant_melanoma,NS,RPMI001,SNP-matched-reference,2.603
668,MESSA,soft_tissue,sarcoma,NS,MCCOYS5A001,SNP-matched-reference,1.5
669,MEWO,skin,malignant_melanoma,NS,EMEM001,SNP-matched-reference,2.716
671,MFE296,endometrium,carcinoma,adenocarcinoma,RPMIMEM002,SNP-matched-reference,2.044
672,MFE319,endometrium,carcinoma,adenocarcinoma,RPMIMEM001,SNP-matched-reference,3.07
673,MG63,bone,osteosarcoma,NS,MEM001,SNP-matched-reference,2.085
677,MHHES1,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,RPMI001,SNP-matched-reference,1.637
678,MHHNB11,autonomic_ganglia,neuroblastoma,NS,RPMI001,SNP-matched-reference,0.545
679,MIAPACA2,pancreas,carcinoma,ductal_carcinoma,DMEM001,SNP-matched-reference,2.956
683,MKN45,stomach,carcinoma,diffuse_adenocarcinoma,RPMI001,SNP-matched-reference,3.799
684,MKN7,stomach,carcinoma,tubular_adenocarcinoma,RPMI001,SNP-matched-reference,2.477
685,MKN74,stomach,carcinoma,tubular_adenocarcinoma,RPMI001,SNP-matched-reference,3.013
686,ML1,thyroid,carcinoma,follicular_carcinoma,DMEM006,SNP-not-tested,2.913
703,MORCPR,lung,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,4.271
705,MPP89,pleura,mesothelioma,NS,DMEM001,SNP-matched-reference,3.348
720,NB1,autonomic_ganglia,neuroblastoma,NS,RPMI001,SNP-matched-reference,0.774
155380,NCIH1048,lung,carcinoma,small_cell_carcinoma,DMEMF12002,SNP-matched-reference,1.237
155395,NCIH1299,lung,carcinoma,non_small_cell_carcinoma,RPMI001,SNP-matched-reference,5.333
155399,NCIH1339,lung,carcinoma,small_cell_carcinoma,RPMI003,SNP-matched-reference,3.238
155400,NCIH1341,lung,carcinoma,small_cell_carcinoma,RPMI005,SNP-matched-reference,3.339
155401,NCIH1355,lung,carcinoma,adenocarcinoma,RPMI005,SNP-matched-reference,3.892
155402,NCIH1373,lung,carcinoma,adenocarcinoma,RPMI003,SNP-matched-reference,3.234
127978,NCIH1395,lung,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,5.052
155407,NCIH1435,lung,carcinoma,non_small_cell_carcinoma,RPMI001,SNP-matched-reference,3.915
155421,NCIH1563,lung,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,3.47
155422,NCIH1568,lung,carcinoma,non_small_cell_carcinoma,RPMI001,SNP-matched-reference,2.662
155424,NCIH1573,lung,carcinoma,adenocarcinoma,RPMI005,SNP-matched-reference,3.556
